listing_id,title,price_chf,source_status,ad_text,location,profile_creation_year,profile_creation_missing,content_score,price_score,profile_score,fraud_index,manual_state_code,risk_target,content_band,price_band,profile_band,risk_band,risk_target_label,dataset,market_price_chf,price_ratio,confirmed_extreme,confirmed_positive,confirmed_negative
65,IPHONE 14PRO MAX 256GB,350,POSITIVE,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Le Mans, PDL",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
66,IPHONE 14PRO MAX 256GB,350,POSITIVE,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Le Havre, NOR",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
67,iPhone 14 Pro Max,230,NEGATIVE,Paiement en  3 fois prix total : 230 ÷3 = 690 (premier grade esthétique),"Paris, IDF",,1,1,3,2,0,3,0,unique,suspiciously-low,intermediate-or-missing,legitimate,acceptable,exploratory_sample,850,0.27058823529411763,1,0,1
68,iPhone 14 Pro Max,230,NEGATIVE,Paiement en  3 fois prix total : 230 ÷3 = 690 (premier grade esthétique),"Paris, IDF",2024.0,0,3,3,3,0,3,0,duplicated,suspiciously-low,new-profile,legitimate,acceptable,exploratory_sample,850,0.27058823529411763,1,0,1
69,iPhone 14 Pro Max 256 Go,230,NEGATIVE,Description : Paiement en  3 fois prix total : 690 ÷3 = 230 (premier grade esthétique),"Paris, IDF",2024.0,0,3,3,3,0,3,0,duplicated,suspiciously-low,new-profile,legitimate,acceptable,exploratory_sample,850,0.27058823529411763,1,0,1
70,iPhone 14 Pro Max,230,NEGATIVE,Paiement en  3 fois prix total : 690 ÷3 = 230 (premier grade esthétique),"Paris, IDF",2021.0,0,3,3,1,0,3,0,duplicated,suspiciously-low,older-profile,legitimate,acceptable,exploratory_sample,850,0.27058823529411763,1,0,1
71,iPhone 14 Pro 256 Go,200,NEGATIVE,Bonjour: Paiement en  3 fois prix total : 600 ÷3 = 200 (premier grade esthétique),"Paris, IDF",2022.0,0,2,3,1,0,3,0,similar,suspiciously-low,older-profile,legitimate,acceptable,exploratory_sample,850,0.23529411764705882,1,0,1
72,IPHONE 14PRO MAX,350,POSITIVE,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Dijon, BFC",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
73,IPHONE 14PRO MAX 256GB,350,POSITIVE,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Mulhouse, GES",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
74,IPHONE 14PRO MAX 256GB,350,POSITIVE,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Clermont-Ferrand, ARA",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
75,IPHONE 14PRO MAX 256GB,350,IDENTIFIED,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Créteil, IDF",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.4117647058823529,0,0,0
76,IPHONE 14PRO MAX 256GB,350,IDENTIFIED,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Marseille, PAC",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.4117647058823529,0,0,0
77,IPHONE 14PRO MAX 256GB,350,IDENTIFIED,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Dijon, BFC",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.4117647058823529,0,0,0
78,IPHONE 14PRO MAX 256GB,350,POSITIVE,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Perpignan, OCC",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
79,IPHONE 14PRO MAX 256GB,350,POSITIVE,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Nanterre, IDF",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
80,IPHONE 14PRO MAX 256GB,350,POSITIVE,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Brest, BRE",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
81,IPHONE 14PRO MAX 256GB,350,IDENTIFIED,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Marseille, PAC",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.4117647058823529,0,0,0
82,IPHONE 14PRO MAX 256GB,350,IDENTIFIED,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Créteil, IDF",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.4117647058823529,0,0,0
83,iPhone 14 pro max neuf +facture 512gb,250,IDENTIFIED,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état ,"Lille, HDF",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.29411764705882354,0,0,0
84,iPhone 14 pro max neuf +facture 512gb,250,IDENTIFIED,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état,"Nancy, GES",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.29411764705882354,0,0,0
85,iPhone 14 pro max neuf +facture 512gb,250,IDENTIFIED,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état,"Rouen, NOR",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.29411764705882354,0,0,0
86,iPhone 14 pro max neuf +facture 512gb,250,IDENTIFIED,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état et sous garantie 1ans ,"Nantes, PDL",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.29411764705882354,0,0,0
